KEY,English,PortugueseBR,SpanishLA
ToggleOn,ON,LIGADO,ACTIVO
ToggleOff,OFF,DESLIGADO,INACTIVO
ToggleAsk,ASK,PERGUNTAR,PREGUNTAR
NotificationFailed,REMINDER REQUEST FAILED,FALHA AO PEDIR LEMBRETE,FALLÓ LA SOLICITUD DE RECORDATORIO
NotificationConsentNote,Reminder consent changes only after the RUN host confirms the requested state.,O consentimento muda apenas após a RUN confirmar o estado solicitado.,El consentimiento cambia solo tras la confirmación de RUN.
HapticSent,HAPTIC SENT,VIBRAÇÃO ENVIADA,VIBRACIÓN ENVIADA
HapticUnsupported,HAPTICS NEED A SUPPORTED DEVICE,A VIBRAÇÃO EXIGE UM APARELHO COMPATÍVEL,LA VIBRACIÓN REQUIERE UN DISPOSITIVO COMPATIBLE
ActionHint,HINT,DICA,PISTA
ActionHintFree,FREE,GRÁTIS,GRATIS
ActionRestart,RESTART,REINICIAR,REINICIAR
ActionUndo,UNDO,DESFAZER,DESHACER
ButtonContinue,CONTINUE,CONTINUAR,CONTINUAR
ClaimSparks,CLAIM [sparks] SPARKS,RECEBER [sparks] FAÍSCAS,RECLAMAR [sparks] CHISPAS
DailyDone,SOLVED TODAY — BACK TOMORROW,RESOLVIDO HOJE — VOLTE AMANHÃ,RESUELTO HOY — VUELVE MAÑANA
DailyEyebrow,TODAY'S BOARD,TABULEIRO DE HOJE,TABLERO DE HOY
DailyFlow,DAILY FLOW,FLUXO DIÁRIO,FLUJO DIARIO
DailyFresh,"A NEW BOARD FOR EVERYONE, TODAY","UM TABULEIRO NOVO PARA TODOS, HOJE","UN TABLERO NUEVO PARA TODOS, HOY"
DailyWaiting,WAITING FOR TRUSTED TIME,AGUARDANDO HORA CONFIÁVEL,ESPERANDO HORA CONFIABLE
HintTooPoor,A HINT COSTS [cost] SPARKS,UMA DICA CUSTA [cost] FAÍSCAS,UNA PISTA CUESTA [cost] CHISPAS
KickerLevels,CHOOSE A BOARD,ESCOLHA UM TABULEIRO,ELIGE UN TABLERO
KickerStudio,TUBES + SHOP,TUBOS + LOJA,TUBOS + TIENDA
LabelFlows,FLOWS,FLUXOS,FLUJOS
LabelMoves,MOVES,JOGADAS,JUGADAS
LabelPar,PERFECT,PERFEITO,PERFECTO
LabelPipe,FILLED,PREENCHIDO,LLENO
LabelSolved,SOLVED,RESOLVIDOS,RESUELTOS
LabelSparks,SPARKS,FAÍSCAS,CHISPAS
LabelStreak,STREAK,SEQUÊNCIA,RACHA
LevelEyebrow,LEVEL,NÍVEL,NIVEL
LevelTileLabel,Level [level],Nível [level],Nivel [level]
MenuLevels,LEVELS,NÍVEIS,NIVELES
MenuStudio,STUDIO,ESTÚDIO,ESTUDIO
NotEnoughSparks,NOT ENOUGH SPARKS YET,FAÍSCAS INSUFICIENTES,CHISPAS INSUFICIENTES
PackSpark,SPARK,FAÍSCA,CHISPA
PackCurrent,CURRENT,CORRENTE,CORRIENTE
PackCircuit,CIRCUIT,CIRCUITO,CIRCUITO
PackGrid,GRID,REDE,RED
PackMainframe,MAINFRAME,MAINFRAME,MAINFRAME
PackLockedNote,Solve [count] levels in [pack] to open this pack.,Resolva [count] níveis em [pack] para abrir este pacote.,Resuelve [count] niveles en [pack] para abrir este paquete.
PackSolved,[solved] / [total] SOLVED,[solved] / [total] RESOLVIDOS,[solved] / [total] RESUELTOS
PaletteUnlockSparks,UNLOCK · [cost],DESBLOQUEAR · [cost],DESBLOQUEAR · [cost]
ResultsContinuePacks,BACK TO THE PACKS,VOLTAR AOS PACOTES,VOLVER A LOS PAQUETES
ResultsDoubleSparks,WATCH · DOUBLE [sparks] SPARKS,ASSISTIR · DOBRAR [sparks] FAÍSCAS,VER · DUPLICAR [sparks] CHISPAS
ResultsLevels,LEVEL LIST,LISTA DE NÍVEIS,LISTA DE NIVELES
ResultsMenu,MAIN MENU,MENU PRINCIPAL,MENÚ PRINCIPAL
ResultsNext,NEXT LEVEL,PRÓXIMO NÍVEL,SIGUIENTE NIVEL
SolvedEyebrow,EVERY CELL LIT,TODAS AS CÉLULAS ACESAS,TODAS LAS CELDAS ENCENDIDAS
SolvedNewBest,NEW BEST — FEWER MOVES,NOVO RECORDE — MENOS JOGADAS,NUEVO RÉCORD — MENOS JUGADAS
SolvedPerfect,ONE STROKE PER FLOW,UM TRAÇO POR FLUXO,UN TRAZO POR FLUJO
SolvedTitle,SOLVED,RESOLVIDO,RESUELTO
SolvedTitlePerfect,PERFECT,PERFEITO,PERFECTO
SolvedWithHint,SOLVED WITH A HINT,RESOLVIDO COM DICA,RESUELTO CON PISTA
SparksGained,+[sparks] SPARKS,+[sparks] FAÍSCAS,+[sparks] CHISPAS
StatBestStreak,BEST DAILY STREAK,MELHOR SEQUÊNCIA,MEJOR RACHA
StatDailies,DAILY FLOWS,FLUXOS DIÁRIOS,FLUJOS DIARIOS
StatHints,HINTS TAKEN,DICAS USADAS,PISTAS USADAS
StatPerfects,PERFECTS,PERFEITOS,PERFECTOS
StatSolved,LEVELS SOLVED,NÍVEIS RESOLVIDOS,NIVELES RESUELTOS
StatsPacks,PACKS,PACOTES,PAQUETES
StudioBody,Every tube set plays exactly the same. The light is the only thing that changes.,Todo conjunto de tubos joga igual. Só a luz muda.,Cada juego de tubos juega igual. Solo cambia la luz.
StudioProducts,SHOP,LOJA,TIENDA
StudioProductsBody,"Permanent unlocks, bought with Run Bits.","Desbloqueios permanentes, comprados com Run Bits.","Desbloqueos permanentes, comprados con Run Bits."
StudioSafetyNote,"Ownership is read from RUN entitlements every session, never from this device.","A posse é lida das permissões da RUN a cada sessão, nunca deste aparelho.","La propiedad se lee de las licencias de RUN cada sesión, nunca de este dispositivo."
